N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
718;Musicotherapeute;"Psychologie - psychothérapie ; Musique ; Médical - santé - Pharmaceutique";Médical;Opérationnel;Master musicothérapie (universités habilitées) ou DEES musicothérapie;1 900€ → 3 200€/mois;Le musicothérapeute utilise la musique comme outil thérapeutique pour accompagner des personnes souffrant de troubles neurologiques, psychologiques ou de handicaps.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;K1105;;
719;Technicien supérieur circulation;"Transport - logistique - approvisionnement ; Aéronautique et transport aérien";Transport;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien supérieur circulation gère et optimise les flux de trafic ferroviaire sur un tronçon du réseau. Il surveille les circulations depuis un poste de régulation, adapte les horaires en temps réel en cas d'incident et coordonne les interventions pour rétablir la fluidité.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;;;;V;;V;V;H2701;;
720;Acheteur et négociant en vin;"Métiers du vin ; Commerce ; Commerce international";Commercial;Opérationnel;BTS Viti-Oeno à Bac+5 (école de commerce);2 000€ → 5 000€/mois;L'acheteur-négociant en vin sélectionne et achète des vins auprès des producteurs pour les revendre à des restaurants, cavistes ou exportateurs.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;;;;;;V;V;;;
721;Agent ou ouvrier viticole;"Métiers du vin ; Agriculture";Production et fabrication;Opérationnel;CAPA Vigne et Vin ou BTSA Viticulture-Œnologie;1 400€ → 2 000€/mois;L'ouvrier viticole réalise les travaux manuels dans les vignes : taille, palissage, vendange et entretien du vignoble.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;;V;V;A1418;;
722;Animateur de vente;"Commerce ; Grande distribution";Commercial;Opérationnel;STCW / Brevet de capitaine à Bac+5;1 800€ → 4 500€/mois;L'animateur de vente assure la promotion et la mise en avant des produits d'une marque en grande surface ou en magasin spécialisé. Il réalise des démonstrations, conseille les clients, met en place les opérations promotionnelles et remonte les informations terrain.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;V;V;V;;;;;D1506;;
723;Chargé de communication digitale;"Communication ; Informatique - numérique - digital ; Média - multimedia - publicité";Communication;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;Le chargé de communication digitale pilote la stratégie de présence numérique d'une organisation. Il gère les réseaux sociaux, crée des contenus adaptés à chaque plateforme, anime les communautés en ligne, suit les indicateurs et optimise les campagnes pour développer l'audience.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;;;;;V;V;E1109;;
724;responsable marketing,;"Commerce ; Communication";Marketing;Manager;Bac+5 (Master marketing, école de commerce);3 000€ → 6 500€/mois;Le responsable marketing élabore et pilote la stratégie marketing : étude de marché, campagnes, image de marque.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;;;V;;;V;;M1705;;
725;yield-manager;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme ; Commerce";Stratégie;Manager;Bac+3 à Bac+5 (hôtellerie, revenue management);2 500€ → 4 500€/mois;Le yield manager optimise le taux de remplissage et le revenu d'un hôtel en ajustant les prix selon la demande.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;;;V;V;;;V;V;G1302;;
726;Assistant de ressources humaines;Ressources humaines;Administratif;Opérationnel;Bac+2 à Bac+3 (BTS RH, Licence pro RH);1 900€ → 2 800€/mois;L'assistant RH appuie l'équipe RH dans les tâches administratives : gestion des dossiers, suivi des formations, préparation des contrats.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1503;;
727;Assistant recrutement;Ressources humaines;Recrutement et mobilité;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;L'assistant recrutement soutient les équipes RH dans le processus d'embauche. Il rédige et diffuse les offres d'emploi, trie les candidatures, organise les entretiens, réalise les pré-qualifications téléphoniques et assure le suivi administratif des recrutements.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;M1503;;
728;Auditeur social;"Ressources humaines ; Banque - finance";Audit et contrôle de gestion;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;L'auditeur social évalue les pratiques sociales et RH d'une organisation. Il analyse la conformité avec le droit du travail, les accords collectifs et les bonnes pratiques, identifie les risques sociaux et formule des recommandations pour améliorer la gestion des ressources humaines.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;V;V;;V;;;;V;;M1415;;
730;Chargé d'études personnel;Ressources humaines;Étude et expertise;Opérationnel;Bac+4 à Bac+5 (selon spécialité);2 500€ → 4 500€/mois;Le chargé d'études mène des analyses et études sur des sujets complexes pour éclairer les décisions. Il produit des rapports et recommandations.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;V;;;;;;V;V;;;
731;Chargé de formation;Ressources humaines;Formation - coaching;Opérationnel;Bac+3 à Bac+5 (RH, formation);2 200€ → 4 000€/mois;Le chargé de formation analyse les besoins en développement des compétences, conçoit le plan de formation et coordonne les actions de formation.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1503;;
732;Chargé de gestion en ressources humaines;Ressources humaines;Administratif;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;Le chargé de gestion des ressources humaines administre les dossiers des salariés tout au long de leur parcours. Il gère les contrats de travail, la paie, les absences, les formations, les congés et assure le lien entre les salariés et la direction RH.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;;;V;V;M1503;;
733;Chargé de recrutement;"Ressources humaines ; Informatique - numérique - digital ; Commerce";Recrutement et mobilité;Opérationnel;Bac+3 à Bac+5 (RH, psychologie);2 200€ → 4 000€/mois;Le chargé de recrutement identifie les besoins en personnel, rédige les offres, sélectionne les candidats et coordonne le processus d'embauche.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;;;
734;Chasssuer de têtes;Ressources humaines;Recrutement et mobilité;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;Le chasseur de têtes (headhunter) identifie et approche des cadres et dirigeants pour des postes stratégiques. Il cartographie les talents sur le marché, approche les candidats passifs, conduit des entretiens approfondis et accompagne les entreprises dans leurs décisions de recrutement.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;;;
735;Chef de projet recrutement;"Ressources humaines ; Informatique - numérique - digital";Recrutement et mobilité;Manager;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;Le chef de projet recrutement pilote les campagnes d'embauche d'une organisation. Il définit les besoins avec les managers, choisit les canaux de sourcing, coordonne les équipes de recrutement, suit les indicateurs et améliore en continu les processus de sélection.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;V;V;;V;;;;V;;H1105;;
736;Coach;"Conseil - consulting ; Psychologie - psychothérapie ; Ressources humaines ; Sport";Formation - coaching;Entrepreneur - Profession libérale;Bac+4 à Bac+5 + certification coaching;2 500€ → 6 000€/mois;Le coach accompagne des personnes ou des équipes dans l'atteinte d'objectifs professionnels ou personnels à travers des séances de coaching structurées.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;N4117;;
737;Conseiller en gestion des ressources humaines;Ressources humaines;Conseil - consulting;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;Le conseiller en gestion des ressources humaines accompagne les managers et les salariés sur les questions RH : gestion de carrière, formation, relations sociales et organisation du travail. Il traduit la stratégie RH en actions concrètes au niveau opérationnel.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;V;V;;V;;;;V;;M1503;;
738;Consultant en recrutement;"Ressources humaines ; Informatique - numérique - digital ; Commerce";Recrutement et mobilité;Entrepreneur - Profession libérale;Bac+5 (école de commerce ou d'ingénieurs);3 000€ → 7 000€/mois;Le consultant en recrutement - mobilité analyse les problèmes de ses clients et leur apporte des solutions dans son domaine d'expertise.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1503;;
739;Formateur;"Ressources humaines ; Enseignement";Formation - coaching;Opérationnel;Bac+3 à Bac+5 selon spécialité;1 900€ → 3 800€/mois;Le formateur conçoit et anime des formations pour adultes en reconversion ou développement professionnel, évalue les acquis et adapte sa pédagogie.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;V;;;;V;;K2111;;
740;Gestionnaire de carrières;"Ressources humaines ; Administration";Recrutement et mobilité;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;Le gestionnaire de carrières accompagne les salariés dans le développement de leur parcours professionnel. Il réalise des entretiens individuels, identifie les potentiels, construit des plans de succession, propose des mobilités internes et coordonne les actions de développement.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;V;M1508;;
741;Gestionnaire de paie;"Ressources humaines ; Comptabilité - gestion - contrôle de gestion";Comptabilité;Opérationnel;Bac+2 à Bac+3 (paie, RH);2 000€ → 3 500€/mois;Le gestionnaire de paie collecte les éléments variables, calcule les salaires et établit les bulletins de paie dans le respect des obligations légales.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;;;;V;V;M1507;;
742;Outplacer;Ressources humaines;Formation - coaching;Opérationnel;Bac+3 à Bac+5 (RH, psychologie, droit social);2 000€ → 5 000€/mois;L'outplacer accompagne des salariés licenciés dans leur transition professionnelle. Il réalise des bilans de compétences, aide à la définition d'un projet professionnel, travaille les techniques de recherche d'emploi et soutient psychologiquement la personne durant cette période.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;M1503;;
743;Responsable de l'information et de la communication;"Ressources humaines ; Communication";Communication;Manager;Bac+4 à Bac+5 (communication);2 800€ → 5 500€/mois;Le responsable communication définit et met en œuvre la stratégie de communication d'une organisation.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;;E1109;;
744;Responsable des ressources humaines;"Ressources humaines ; Commerce ; Industrie ; Administration";Stratégie;Manager;Bac+4 à Bac+5 (Master RH, école de commerce);3 500€ → 6 500€/mois;Le responsable RH pilote le recrutement, la formation, la gestion des carrières et les relations sociales de son périmètre.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;V;;;V;;M1503;;
745;Responsable SIRH;"Ressources humaines ; Informatique - numérique - digital";Gestion de projet;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable SIRH (Système d'Information des Ressources Humaines) pilote les outils digitaux RH de l'entreprise (SIRH, paie, gestion des temps). Il paramètre les solutions, gère les projets d'évolution, forme les utilisateurs et garantit la fiabilité des données RH.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;V;;V;V;;;V;;M1606;;
746;Responsable développement RH;Ressources humaines;Étude et expertise;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable développement RH définit et met en œuvre la politique de formation, de gestion des talents et de mobilité interne. Il identifie les besoins en compétences, construit le plan de développement, pilote les évaluations et accompagne les transformations organisationnelles.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;V;;;V;;M1707;;
