Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Chef de projet MOA;"Gestion de projet ; Industrie ; Bâtiment - construction ; Banque - finance ; Commerce ; Aéronautique et transport aérien ; Énergie ; Médical - santé - Pharmaceutique ; Administration ; Transport - logistique - approvisionnement";Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chef de projet MOA représente la maîtrise d'ouvrage dans les projets informatiques. Il exprime les besoins métier, valide les livrables et assure la relation avec la MOE.;Bac+4 à Bac+5 (informatique, gestion de projet);3 500€ → 6 000€/mois;;Oui;Oui;;Oui;;;Oui;Oui;H1233;;
Chef de projet sécurité;"Gestion de projet ; Industrie ; Bâtiment - construction ; Banque - finance ; Commerce ; Aéronautique et transport aérien ; Énergie ; Médical - santé - Pharmaceutique ; Administration ; Transport - logistique - approvisionnement";Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chef de projet sécurité pilote des projets de mise en conformité ou d'amélioration de la sécurité des systèmes d'information.;Bac+5 (cybersécurité, informatique);4 000€ → 7 000€/mois;;Oui;Oui;;Oui;;;Oui;Oui;H1105;;
Chef de studio digital;Informatique - numérique - digital;Conception graphique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chef de studio digital manage une équipe créative chargée de la production de contenus numériques (vidéos, visuels, sites). Il pilote les projets et assure la qualité créative.;Bac+4 à Bac+5 (communication, multimédia, management);3 500€ → 6 000€/mois;;Oui;Oui;;Oui;;;Oui;Oui;M1805;;
Chief digital officer;Informatique - numérique - digital;Conduite du changement;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le CDO pilote la transformation numérique de l'entreprise et définit la stratégie digitale globale.;Bac+5 (école d'ingénieurs ou de commerce);6 000€ → 15 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1423;;
Consultant en stratégie;"Commerce ; Informatique - numérique - digital ; Banque - finance ; Industrie ; Administration ; Médical - santé - Pharmaceutique ; Agroalimentaire";Conseil - consulting;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le consultant en stratégie accompagne les dirigeants dans leurs prises de décision stratégiques à travers des analyses et des recommandations.;Bac+5 (grandes écoles de commerce);4 000€ → 9 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Consultant en sécurité des réseaux;"Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Administration";Sécurité;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le consultant en sécurité analyse les problèmes de ses clients et leur apporte des solutions dans son domaine d'expertise.;Bac+5 (école de commerce ou d'ingénieurs);3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Consultant technique;"Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Administration";Conseil - consulting;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le consultant en conseil - consulting analyse les problèmes de ses clients et leur apporte des solutions dans son domaine d'expertise.;Bac+5 (école de commerce ou d'ingénieurs);3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;H1206;;
Data analyst;"Informatique - numérique - digital ; Banque - finance ; Commerce ; Assurance ; Médical - santé - Pharmaceutique ; Industrie ; Administration ; Agroalimentaire";Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le data analyst collecte, traite et visualise les données pour aider à la prise de décision. Il produit des tableaux de bord et des rapports analytiques.;Bac+3 à Bac+5 (informatique, statistiques);2 800€ → 5 000€/mois;;Oui;Oui;;;;;Oui;Oui;M1419;;
Data scientist;"Informatique - numérique - digital ; Banque - finance ; Commerce ; Assurance ; Médical - santé - Pharmaceutique ; Industrie ; Administration ; Agroalimentaire";Étude et expertise;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;T;J;Le data scientist analyse de grandes quantités de données pour construire des modèles prédictifs et extraire des insights stratégiques.;Bac+5 (Master mathématiques/informatique);3 500€ → 6 500€/mois;;Oui;Oui;;;;;Oui;Oui;M1405;;
Développeur en cybersécurité;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le développeur en cybersécurité conçoit et intègre des fonctionnalités de sécurité dans les applications. Il réalise des tests d'intrusion, corrige les vulnérabilités et assure la protection des données.;Bac+3 à Bac+5 (cybersécurité, développement);3 500€ → 6 500€/mois;;;Oui;;;Oui;;Oui;Oui;E1203;;
Digital evangelist;Informatique - numérique - digital;Étude et expertise;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;Le digital evangelist promeut l'adoption des technologies numériques et accompagne la transformation digitale.;Bac+5 (informatique, management);3 500€ → 7 000€/mois;;;Oui;;;Oui;;Oui;Oui;;;
Directeur du services informatique;"Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Étude et expertise;→ Fiche métier;Directeur;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le directeur du domaine étude et expertise dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1867;;
Directeur du système d'information;"Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Étude et expertise;→ Fiche métier;Directeur;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le directeur du domaine étude et expertise dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1839;;
Directeur technique informatique;"Informatique - numérique - digital ; Industrie ; Énergie ; Aéronautique et transport aérien ; Automobile ; Bâtiment - construction ; Télécomunication";Étude et expertise;→ Fiche métier;Directeur;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le directeur du domaine étude et expertise dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;M1839;;
Domoticien;Informatique - numérique - digital;Installation et/ou maintenance;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le domoticien installe et programme les systèmes d'automatisation d'une habitation : éclairage, chauffage, sécurité, volets. Il intervient en construction neuve ou rénovation.;Bac Pro MELEC à BTS Électrotechnique ou SN;1 900€ → 3 200€/mois;;;Oui;;;Oui;;Oui;Oui;F1134;;
Expert infrastructure;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'expert infrastructure conçoit et optimise les architectures serveurs, réseaux et cloud d'une organisation. Il résout les incidents complexes et pilote les migrations de systèmes.;Bac+3 à Bac+5 (systèmes, réseaux);3 500€ → 6 500€/mois;;;Oui;;;Oui;;Oui;Oui;E1108;;
chargé du développement commercial;"Informatique - numérique - digital ; Commerce ; Industrie ; Agroalimentaire ; Médical - santé - Pharmaceutique ; Automobile ; Énergie ; Bâtiment - construction";Sécurité;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chargé de sécurité conduit des missions spécifiques dans son domaine d'expertise au sein d'une organisation.;Bac+3 à Bac+5;2 200€ → 4 000€/mois;;Oui;;;;;;Oui;Oui;M1707;;
Gestionnaire de contrat;"Informatique - numérique - digital ; Commerce ; Administration";Administratif;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;Le gestionnaire de contrat administre le cycle de vie des contrats avec les fournisseurs et clients. Il vérifie les obligations contractuelles, les renouvellements et négocie les avenants.;Bac+3 à Bac+5 (droit, gestion, informatique);2 800€ → 4 500€/mois;;Oui;;;Oui;;;Oui;Oui;M1212;;
Gestionnaire de parc informatique;"Informatique - numérique - digital ; Administration ; Commerce ; Banque - finance ; Industrie ; Médical - santé - Pharmaceutique";Installation et/ou maintenance;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le gestionnaire de parc informatique inventorie, installe, configure et maintient le matériel informatique des utilisateurs d'une organisation.;Bac+2 (BTS Informatique);2 000€ → 3 500€/mois;;;;;;Oui;Oui;Oui;Oui;M1869;;
Gestionnaire de services;"Informatique - numérique - digital ; Administration";Administratif;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;Le gestionnaire de services informatiques pilote la qualité des services SI. Il suit les indicateurs de performance, gère les incidents et améliore continuellement les processus.;Bac+3 à Bac+5 (informatique, management);2 800€ → 4 500€/mois;;Oui;;;Oui;;;Oui;Oui;M1508;;
Hacker éthique;Informatique - numérique - digital;Sécurité;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le hacker éthique teste la sécurité des systèmes informatiques avec l'autorisation de l'entreprise pour identifier les failles avant des acteurs malveillants.;Bac+3 à Bac+5 (informatique, cybersécurité);3 000€ → 6 500€/mois;;Oui;Oui;;;Oui;;Oui;;;;
Chef de publicité;"Publicité ; Communication ; Médias - multimédia - publicité";Marketing;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;Le chef de publicité gère la relation entre une agence et ses clients annonceurs. Il coordonne la création des campagnes, contrôle les budgets et s'assure que les objectifs marketing sont atteints.;Bac+4 à Bac+5 (communication, publicité);2 800€ → 5 000€/mois;;Oui;Oui;;Oui;;;Oui;Oui;;;
Ingénieur cloud computing;Informatique - numérique - digital;Sécurité;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'ingénieur cloud conçoit et gère des infrastructures cloud (AWS, Azure, GCP). Il assure la disponibilité, la performance et la sécurité des services.;Bac+5 (école d'ingénieurs, informatique);3 500€ → 7 000€/mois;;Oui;Oui;;;;;Oui;;;;
Ingénieur d'affaires;"Informatique - numérique - digital ; Industrie ; Bâtiment - construction ; Énergie ; Aéronautique et transport aérien ; Automobile ; Télécomunication ; Chimie - biologie - science ; Transport - logistique - approvisionnement";Commercial;→ Fiche métier;Opérationnel;https://www.cidj.com/metiers/responsable-affiliation-et-partenariats-sur-le-web;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'ingénieur d'affaires développe des clients, propose des solutions techniques et gère des projets complexes. Il fait le lien entre les besoins clients et les équipes techniques.;Bac+5 (école d'ingénieurs ou de commerce);3 500€ → 7 000€/mois;;Oui;Oui;Oui;;;;Oui;;E1123;;
ingénieur en cybersécurité;Informatique - numérique - digital;Sécurité;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'ingénieur en cybersécurité protège les systèmes informatiques contre les cyberattaques. Il réalise des audits, met en place des solutions de sécurité.;Bac+5 (école d'ingénieurs, informatique);3 800€ → 7 500€/mois;;;Oui;Oui;;Oui;;Oui;;M1844;;
ingénieur en informatique;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'ingénieur spécialisé en conception technique, technologique ou informatique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;M1841;;
designer d’interaction;"Informatique - numérique - digital ; Art";Conception esthétique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le designer d'interaction conçoit les comportements des produits numériques. Il crée des prototypes, teste les parcours utilisateurs et améliore l'ergonomie des interfaces.;Bac+3 à Bac+5 (UX design);2 800€ → 5 000€/mois;;Oui;Oui;;;Oui;;Oui;;;;
designer de réalité virtuelle;"Art ; Informatique - numérique - digital ; Jeux vidéo ; Cinéma - audiovisuel";Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le designer VR conçoit des environnements et interactions pour des expériences immersives en réalité virtuelle.;Bac+3 à Bac+5 (design interactif, jeux vidéo);2 500€ → 5 000€/mois;;Oui;Oui;;;Oui;;Oui;;;;
Ingénieur télépilote;Informatique - numérique - digital;Renseignement;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;L'ingénieur spécialisé en renseignement conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
